block_timestamp ,gas_used ,num_noops ,num_deposits ,num_withdrawals ,num_transfers ,num_trades ,num_account_updates ,num_amm_updates ,num_signatures 
31/01/21 18:08 ,1158107,0,8,2,16,334,9,10,5
31/01/21 18:34 ,660140,0,2,3,2,377,0,0,0
31/01/21 19:36 ,1351592,0,3,2,26,327,2,16,8
31/01/21 20:25 ,1030347,114,6,5,11,235,4,6,3
31/01/21 20:57 ,1954650,7,10,1,48,268,5,30,15
31/01/21 21:47 ,1522352,88,6,2,36,219,3,20,10
01/02/21 00:38 ,1405393,0,3,0,33,317,4,18,9
01/02/21 01:03 ,1184634,0,3,2,29,329,3,12,6
01/02/21 01:44 ,1497482,0,12,5,32,310,1,16,8
01/02/21 02:28 ,1432888,56,5,4,26,267,2,16,8
01/02/21 04:57 ,950237,0,4,1,14,350,3,8,4
01/02/21 05:43 ,2650969,67,11,4,68,166,5,42,21
01/02/21 06:29 ,922358,75,3,4,33,260,3,4,2
01/02/21 07:43 ,1467036,0,2,4,28,326,0,16,8
01/02/21 08:07 ,1072911,0,2,1,18,343,5,10,5
01/02/21 08:18 ,958356,0,4,4,11,356,0,6,3
01/02/21 08:59 ,1201907,0,4,5,19,340,1,10,5
01/02/21 09:16 ,751799,0,5,3,3,369,1,2,1
01/02/21 09:51 ,1072665,89,2,4,13,262,2,8,4
01/02/21 11:53 ,1731902,0,6,3,38,301,3,22,11
01/02/21 12:29 ,1720870,0,5,4,39,303,0,22,11
01/02/21 14:25 ,878964,33,3,5,8,328,1,4,2
01/02/21 15:50 ,2095272,0,8,2,50,274,2,32,16
01/02/21 15:58 ,1254557,0,0,0,24,334,2,16,8
01/02/21 15:59 ,510082,0,0,0,1,383,0,0,0
01/02/21 16:40 ,1081740,0,5,3,17,340,7,8,4
01/02/21 17:08 ,932407,3,3,2,11,354,2,6,3
01/02/21 17:22 ,1501162,0,3,1,32,317,1,20,10
01/02/21 17:59 ,1068347,0,9,2,19,336,3,10,5
01/02/21 18:37 ,1109264,0,3,4,14,350,1,8,4
01/02/21 19:54 ,1350702,4,8,2,30,312,4,16,8
01/02/21 20:43 ,1507202,0,4,3,26,321,6,16,8
01/02/21 22:57 ,2577721,38,12,1,67,197,6,42,21
01/02/21 23:12 ,847982,0,5,2,13,355,3,4,2
01/02/21 23:30 ,1109548,0,8,2,20,337,2,10,5
01/02/21 23:54 ,1038175,0,5,1,21,340,2,10,5
02/02/21 00:33 ,1263944,2,5,2,27,327,0,14,7
02/02/21 00:57 ,1502141,0,2,3,28,323,1,18,9
02/02/21 01:25 ,1232541,0,2,3,20,340,1,12,6
02/02/21 02:14 ,3305449,8,9,2,92,182,4,58,29
02/02/21 03:57 ,2088868,6,8,6,53,265,7,26,13
02/02/21 06:47 ,1342384,32,4,5,23,299,3,12,6
02/02/21 07:47 ,2304421,0,2,7,53,270,1,34,17
02/02/21 09:05 ,1125344,0,3,3,16,345,2,10,5
02/02/21 09:29 ,844194,0,2,3,9,362,2,4,2
02/02/21 13:08 ,1354985,75,6,5,20,255,5,12,6
02/02/21 13:59 ,871636,121,5,4,11,233,4,4,2
02/02/21 15:20 ,2201391,21,9,7,49,248,5,30,15
02/02/21 16:26 ,1026987,53,8,4,16,286,8,6,3
02/02/21 16:53 ,1547509,0,3,9,26,320,5,14,7
02/02/21 17:15 ,1381161,0,4,5,27,326,1,14,7
02/02/21 20:33 ,1429383,5,12,7,22,315,8,10,5
02/02/21 21:34 ,2541113,121,7,9,54,141,1,34,17
02/02/21 22:58 ,1330586,0,1,4,18,340,3,12,6
03/02/21 00:29 ,968030,0,7,3,9,355,1,6,3
03/02/21 01:03 ,893160,38,4,3,10,319,4,4,2
03/02/21 05:16 ,1171429,103,6,5,23,226,6,10,5
03/02/21 08:35 ,1619668,10,5,9,31,305,3,14,7
03/02/21 12:13 ,1682754,6,27,10,28,286,3,16,8
03/02/21 12:43 ,759607,0,1,1,6,369,1,4,2
03/02/21 12:55 ,1012223,0,1,2,14,354,1,8,4
03/02/21 13:30 ,1069473,48,3,5,15,300,4,6,3
03/02/21 14:40 ,1796133,0,8,4,37,297,5,22,11
03/02/21 15:18 ,1469480,0,13,8,16,325,7,10,5
03/02/21 16:14 ,1318932,0,5,10,20,336,1,8,4
03/02/21 16:35 ,1083150,0,7,7,15,343,3,6,3
03/02/21 17:42 ,1765666,112,7,11,24,196,10,16,8
03/02/21 18:27 ,1414841,0,9,5,25,318,6,14,7
03/02/21 20:03 ,866594,0,3,1,9,359,3,6,3
03/02/21 21:03 ,1589011,88,10,7,27,226,2,16,8
03/02/21 22:55 ,2454585,55,14,7,50,197,13,32,16
04/02/21 01:58 ,1740635,0,4,7,30,306,10,18,9
04/02/21 02:28 ,1434038,3,5,6,21,325,6,12,6
04/02/21 03:05 ,854544,0,7,1,18,347,2,6,3
04/02/21 04:14 ,1518228,109,8,8,25,210,6,12,6
04/02/21 05:20 ,1468082,0,13,8,18,323,7,10,5
04/02/21 07:43 ,1957085,20,10,10,45,263,6,20,10
04/02/21 08:53 ,892292,0,4,7,4,365,4,0,0
04/02/21 09:18 ,1094135,0,5,7,23,339,1,6,3
04/02/21 09:29 ,787266,0,0,2,212,161,3,4,2
04/02/21 10:06 ,1362090,0,8,7,218,130,3,12,6
04/02/21 10:26 ,776747,0,2,2,310,62,5,2,1
04/02/21 10:38 ,659915,0,0,1,305,72,6,0,0
04/02/21 10:49 ,661525,0,2,1,354,22,2,2,1
04/02/21 11:48 ,1073949,0,9,3,189,165,9,6,3
04/02/21 13:36 ,1236072,0,2,3,34,323,7,10,5
04/02/21 14:37 ,1012213,0,8,1,24,331,8,8,4
04/02/21 15:38 ,1314208,0,9,5,28,319,8,10,5
04/02/21 16:38 ,1319143,0,8,7,27,317,16,6,3
04/02/21 17:18 ,1545072,0,4,4,42,301,12,14,7
04/02/21 19:46 ,2077827,0,12,12,39,283,5,22,11
04/02/21 20:42 ,1756020,120,8,10,39,173,16,12,6
04/02/21 22:08 ,1343406,5,11,6,17,321,9,10,5
04/02/21 22:44 ,1710126,0,4,3,36,303,5,22,11
04/02/21 23:19 ,1472154,0,5,3,47,296,12,14,7
05/02/21 00:39 ,1333426,0,11,2,62,277,17,10,5
05/02/21 01:24 ,1935107,12,11,12,38,276,8,18,9
05/02/21 02:20 ,1645621,0,10,8,25,312,11,12,6
05/02/21 03:11 ,1610167,0,11,9,21,320,5,12,6
05/02/21 03:25 ,684852,0,5,3,5,369,2,0,0
05/02/21 03:40 ,881985,0,2,1,16,355,1,6,3
05/02/21 04:32 ,1376621,2,17,3,25,308,11,12,6
05/02/21 05:26 ,1693688,0,8,9,27,309,10,14,7
05/02/21 05:49 ,666047,0,1,3,5,371,4,0,0
05/02/21 06:22 ,1460816,0,10,5,30,314,4,14,7
05/02/21 07:10 ,1356557,0,11,6,23,322,7,10,5
05/02/21 07:33 ,1171623,0,3,10,20,340,5,4,2
05/02/21 08:32 ,1102735,0,9,6,14,341,5,6,3
05/02/21 09:25 ,1569029,0,8,8,30,312,5,14,7
05/02/21 10:21 ,1645728,0,2,10,28,320,3,14,7
05/02/21 11:28 ,2134022,0,10,4,67,253,11,26,13
05/02/21 12:34 ,1343709,56,11,7,46,244,5,10,5
05/02/21 13:50 ,1877485,0,11,10,52,276,8,18,9
05/02/21 14:34 ,1113207,0,2,3,24,340,0,10,5
05/02/21 14:34 ,618150,0,2,2,8,366,6,0,0
05/02/21 15:16 ,1423083,0,5,7,71,273,10,12,6
05/02/21 15:16 ,928191,0,1,4,23,347,3,4,2
05/02/21 15:33 ,1018872,0,3,4,30,337,1,6,3
05/02/21 15:40 ,1260395,0,3,11,26,334,4,4,2
05/02/21 16:11 ,2294475,0,13,16,62,252,11,20,10
05/02/21 16:23 ,2243322,0,8,6,59,262,4,30,15
05/02/21 16:45 ,1320358,0,11,6,35,312,2,12,6
05/02/21 17:05 ,1688361,0,10,5,49,278,12,20,10
05/02/21 17:54 ,1834530,0,14,9,40,287,4,20,10
05/02/21 18:43 ,2115514,4,21,12,57,252,5,22,11
05/02/21 19:17 ,2091406,0,23,9,58,251,7,24,12
05/02/21 19:37 ,1263584,0,6,4,24,329,3,12,6
05/02/21 20:44 ,2131715,0,12,6,56,264,7,26,13
05/02/21 20:53 ,2031380,0,10,5,55,271,1,28,14
05/02/21 21:02 ,1084781,0,0,2,17,349,1,10,5
05/02/21 21:37 ,1074364,0,5,3,19,342,3,8,4
05/02/21 22:02 ,1162519,0,3,3,17,343,3,10,5
05/02/21 22:32 ,713258,0,7,1,7,360,6,2,1
05/02/21 22:52 ,736206,0,3,1,5,372,0,2,1
05/02/21 23:14 ,625390,0,2,0,5,373,1,2,1
05/02/21 23:31 ,831181,3,2,2,8,361,2,4,2
05/02/21 23:50 ,1251165,0,4,1,23,332,3,14,7
05/02/21 23:50 ,571552,0,0,1,1,381,1,0,0
06/02/21 00:25 ,877035,0,9,3,8,355,6,2,1
06/02/21 00:39 ,965629,0,3,3,17,349,3,6,3
06/02/21 01:01 ,890050,0,6,0,27,337,2,8,4
06/02/21 01:30 ,771311,0,2,1,12,361,2,4,2
06/02/21 01:35 ,771776,0,0,1,9,368,0,4,2
06/02/21 02:10 ,832753,0,2,5,11,362,1,2,1
06/02/21 02:10 ,659144,0,2,1,9,369,0,2,1
06/02/21 02:10 ,664561,0,3,1,8,369,0,2,1
06/02/21 02:17 ,609787,0,1,0,4,376,0,2,1
06/02/21 02:29 ,925713,0,1,6,7,364,0,4,2
06/02/21 03:16 ,954153,0,6,4,13,350,5,4,2
06/02/21 03:16 ,1008757,0,2,1,21,344,1,10,5
06/02/21 03:31 ,1077545,0,3,2,24,339,1,10,5
06/02/21 04:37 ,2090454,104,10,5,55,161,7,28,14
06/02/21 05:39 ,799046,2,11,2,5,350,11,2,1
06/02/21 06:42 ,846412,0,9,2,14,347,6,4,2
06/02/21 07:05 ,719870,0,5,0,15,357,1,4,2
06/02/21 08:05 ,1113387,0,11,4,12,339,6,8,4
06/02/21 09:03 ,1536951,43,5,6,33,268,5,16,8
06/02/21 09:27 ,684373,0,7,1,6,362,5,2,1
06/02/21 10:16 ,1147204,0,12,2,21,328,6,10,5
06/02/21 10:43 ,869050,0,7,1,13,349,5,6,3
06/02/21 11:09 ,817277,0,3,2,6,366,1,4,2
06/02/21 11:23 ,1140819,3,4,4,15,342,4,8,4
06/02/21 11:34 ,771732,0,9,4,5,361,2,2,1
06/02/21 12:02 ,1074350,0,9,4,18,339,2,8,4
06/02/21 12:27 ,875351,0,10,6,15,347,3,2,1
06/02/21 13:11 ,2679619,0,9,7,69,235,4,40,20
06/02/21 14:17 ,1170896,0,19,6,26,314,7,8,4
06/02/21 14:54 ,1717611,0,7,3,37,300,4,22,11
06/02/21 16:43 ,1671924,0,15,4,40,290,5,20,10
06/02/21 17:57 ,2350429,0,30,8,59,231,11,30,15
06/02/21 18:23 ,765211,0,3,1,6,367,1,4,2
06/02/21 18:34 ,734338,0,3,0,7,368,0,4,2
06/02/21 18:45 ,929703,0,3,2,11,357,2,6,3
06/02/21 19:03 ,864283,0,6,3,8,358,3,4,2
06/02/21 19:36 ,674131,0,6,3,6,364,5,0,0
06/02/21 20:17 ,921267,0,9,1,10,349,6,6,3
06/02/21 20:24 ,761847,0,5,1,6,365,1,4,2
06/02/21 20:59 ,1102290,0,4,4,12,350,2,8,4
06/02/21 21:37 ,1161882,0,9,2,17,338,3,10,5
06/02/21 22:10 ,1100705,0,6,2,19,341,1,10,5
06/02/21 23:22 ,1694375,33,11,5,39,263,6,18,9
07/02/21 00:27 ,1360119,1,16,8,19,320,5,10,5
07/02/21 00:42 ,953854,0,2,1,15,353,1,8,4
07/02/21 01:45 ,1231132,109,10,3,21,217,9,10,5
07/02/21 02:37 ,1279877,0,17,3,27,313,6,12,6
07/02/21 02:59 ,1200112,0,3,2,21,340,0,12,6
07/02/21 04:23 ,1170850,0,11,2,28,320,5,12,6
07/02/21 05:35 ,1243579,31,6,3,23,300,3,12,6
07/02/21 08:19 ,1460141,37,13,2,31,268,6,18,9
07/02/21 09:18 ,961022,54,5,2,14,292,8,6,3
07/02/21 09:34 ,504148,0,6,0,5,371,2,0,0
07/02/21 09:51 ,1622181,0,5,3,32,312,2,20,10
07/02/21 10:18 ,924081,0,5,1,21,344,1,8,4
07/02/21 10:33 ,815806,0,3,1,7,363,4,4,2
07/02/21 10:51 ,1149233,0,7,1,20,337,1,12,6
07/02/21 11:12 ,716685,0,2,2,9,366,2,2,1
07/02/21 11:24 ,856606,0,3,1,11,359,1,6,3
07/02/21 11:33 ,607377,0,1,0,4,376,0,2,1
07/02/21 12:36 ,1150373,0,8,3,21,332,5,10,5
07/02/21 12:40 ,680332,0,3,1,6,369,2,2,1
07/02/21 12:49 ,678572,0,3,1,5,371,1,2,1
07/02/21 12:59 ,947080,0,2,2,6,365,3,4,2
07/02/21 13:07 ,749423,0,5,1,6,366,0,4,2
07/02/21 13:20 ,496625,0,3,0,0,381,0,0,0
07/02/21 13:33 ,606511,0,1,0,3,377,0,2,1
07/02/21 13:33 ,601875,0,3,0,4,374,0,2,1
07/02/21 13:36 ,610783,0,0,0,3,378,0,2,1
07/02/21 13:45 ,537648,0,0,0,0,382,2,0,0
07/02/21 13:45 ,720199,0,2,2,3,373,1,2,1
07/02/21 13:46 ,565028,0,0,1,0,382,1,0,0
07/02/21 13:46 ,505883,0,0,0,3,380,1,0,0
07/02/21 13:50 ,549118,0,0,1,0,383,0,0,0
07/02/21 14:01 ,522640,0,0,0,1,381,2,0,0
07/02/21 14:06 ,564781,0,0,1,0,383,0,0,0
07/02/21 14:12 ,601332,0,3,0,3,375,0,2,1
07/02/21 14:18 ,732443,0,0,2,4,375,0,2,1
07/02/21 14:18 ,813627,0,2,0,10,362,1,6,3
07/02/21 14:19 ,649054,0,2,1,4,374,0,2,1
07/02/21 14:40 ,499751,0,2,0,1,380,1,0,0
07/02/21 14:40 ,503854,0,0,0,1,383,0,0,0
07/02/21 14:40 ,502258,0,0,0,0,384,0,0,0
07/02/21 14:41 ,499451,0,1,0,1,382,0,0,0
07/02/21 14:44 ,533984,0,2,1,1,379,1,0,0
07/02/21 14:44 ,607170,0,1,0,3,377,0,2,1
07/02/21 14:53 ,738241,0,0,0,8,368,2,4,2
07/02/21 14:53 ,552321,0,0,1,1,382,0,0,0
07/02/21 15:01 ,533987,0,2,1,2,379,0,0,0
07/02/21 15:05 ,495665,0,3,0,0,381,0,0,0
07/02/21 15:05 ,708496,0,0,0,6,372,0,4,2
07/02/21 15:29 ,536670,0,1,1,0,382,0,0,0
07/02/21 15:31 ,522311,0,0,0,1,381,2,0,0
07/02/21 15:31 ,501778,0,0,0,2,382,0,0,0
07/02/21 15:31 ,705599,0,1,2,4,373,1,2,1
07/02/21 15:40 ,716262,0,3,0,6,367,2,4,2
07/02/21 15:40 ,604893,0,2,0,4,374,1,2,1
07/02/21 15:40 ,804944,0,0,0,9,366,0,6,3
07/02/21 15:41 ,610555,0,0,0,3,378,0,2,1
07/02/21 15:53 ,807332,0,0,0,9,366,0,6,3
07/02/21 15:54 ,648647,0,2,1,4,374,0,2,1
07/02/21 15:54 ,822288,0,0,0,9,365,1,6,3
07/02/21 15:54 ,687373,0,1,2,3,375,0,2,1
07/02/21 16:06 ,503086,0,0,0,0,384,0,0,0
07/02/21 16:06 ,718489,0,1,0,8,368,1,4,2
07/02/21 16:06 ,578306,0,1,1,0,381,1,0,0
07/02/21 16:13 ,731777,0,1,1,6,370,0,4,2
07/02/21 16:13 ,503698,0,0,0,1,383,0,0,0
07/02/21 16:25 ,503788,0,1,0,2,380,1,0,0
07/02/21 16:25 ,503830,0,0,0,2,382,0,0,0
07/02/21 16:28 ,515392,0,2,0,1,380,1,0,0
07/02/21 16:28 ,507910,0,4,0,0,380,0,0,0
07/02/21 16:41 ,708448,0,0,0,6,372,0,4,2
07/02/21 16:41 ,575904,0,0,2,0,382,0,0,0
07/02/21 16:55 ,582884,0,0,1,0,382,1,0,0
07/02/21 16:55 ,610555,0,0,0,3,378,0,2,1
07/02/21 16:55 ,534047,0,2,1,3,378,0,0,0
07/02/21 16:55 ,702271,0,2,0,8,368,0,4,2
07/02/21 16:55 ,567558,0,1,1,0,381,1,0,0
07/02/21 17:07 ,610330,0,0,0,3,378,0,2,1
07/02/21 17:07 ,521133,0,0,0,0,383,1,0,0
07/02/21 17:07 ,740193,0,0,1,6,371,0,4,2
07/02/21 17:17 ,503626,0,0,0,0,384,0,0,0
07/02/21 17:17 ,503530,0,0,0,0,384,0,0,0
